Rank,Metric,Pearson_r,Spearman_rho,RMSE,RMSE_CV,RMSE_star,RMSE_star_CV,Generalization_Gap,Outlier_Ratio,Outlier_Ratio_CV,Performance_Category
1,warp_mean_l2,-0.7123,-0.5951,0.2958,0.4109,0.0000,0.0385,0.1151,0.0000,0.2000,Good
2,q_warp_mean_l2,0.7126,0.5951,0.2964,0.4144,0.0000,0.0407,0.1180,0.0000,0.2000,Good
3,q_warp_mean_l1,0.7129,0.5583,0.3086,0.4173,0.0000,0.0000,0.1087,0.0000,0.0000,Good
4,warp_mean_l1,-0.7128,-0.5583,0.3087,0.4173,0.0000,0.0000,0.1086,0.0000,0.0000,Good
5,ssim_std,-0.7533,-0.8283,0.2708,0.4904,0.0000,0.1084,0.2196,0.0000,0.3000,Good
6,motion_mag_mean,-0.7442,-0.7547,0.3028,0.4994,0.0000,0.0648,0.1966,0.0000,0.2000,Good
7,q_fb_mean_l2,0.7876,0.7424,0.2949,0.5179,0.0000,0.0741,0.2230,0.0000,0.1000,Fair
8,q_fb_mean_l1,0.7817,0.7424,0.2934,0.5340,0.0000,0.1129,0.2406,0.0000,0.1000,Fair
9,semantic,0.6476,0.6197,0.3380,0.5561,0.0510,0.2260,0.2182,0.2000,0.4000,Fair
10,median_clip_score,-0.1073,0.1288,0.3755,0.6475,0.1005,0.3143,0.2720,0.1000,0.3000,Poor
11,lpips_std,-0.6763,-0.7178,0.3559,0.6478,0.0184,0.2852,0.2919,0.1000,0.3000,Fair
12,technical,0.3589,0.3497,0.4152,0.6656,0.0913,0.2313,0.2504,0.2000,0.4000,Fair
13,motion_mag_var,-0.7175,-0.7792,0.2851,0.7104,0.0000,0.4399,0.4253,0.0000,0.3000,Poor
14,overall,0.4267,0.4233,0.4047,0.8625,0.1057,0.5368,0.4579,0.1000,0.3000,Poor
15,mean_clip_score,-0.1403,0.1288,0.3840,0.9203,0.1095,0.6554,0.5362,0.1000,0.4000,Poor
16,q_motion_mag_var,0.6274,0.7792,0.3437,0.9337,0.0576,0.6137,0.5900,0.2000,0.5000,Poor
17,lpips_max,0.1816,0.2025,0.4621,1.0471,0.1908,0.8062,0.5850,0.1000,0.5000,Poor
18,lpips_min,0.4844,0.5461,0.3936,1.1202,0.1056,0.9369,0.7266,0.2000,0.5000,Poor
19,ssim_median,-0.2551,-0.3865,0.4036,1.1207,0.0334,0.9521,0.7171,0.2000,0.3000,Poor
20,ssim_max,-0.4246,-0.5092,0.3473,1.1217,0.0249,0.9520,0.7744,0.1000,0.4000,Poor
21,ssim_mean,-0.2704,-0.3988,0.3980,1.1242,0.0132,0.9502,0.7262,0.2000,0.4000,Poor
22,fb_mean_l1,-0.7344,-0.7424,0.2679,1.2436,0.0000,1.2073,0.9757,0.0000,0.2000,Poor
23,fb_mean_l2,-0.7342,-0.7424,0.2697,1.2444,0.0000,1.2073,0.9746,0.0000,0.2000,Poor
24,aesthetic,0.4845,0.4479,0.3916,1.2670,0.1052,1.0316,0.8754,0.2000,0.4000,Poor
25,ssim_min,-0.1229,0.1288,0.4611,1.2953,0.1369,1.0891,0.8342,0.1000,0.6000,Poor
26,lpips_mean,0.3259,0.3620,0.4538,1.3084,0.1489,1.1438,0.8546,0.2000,0.6000,Poor
27,lpips_median,0.3379,0.4356,0.4504,1.3173,0.1417,1.1572,0.8669,0.2000,0.5000,Poor
