Metric,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,RMSE,RMSE_CV,RMSE_star,RMSE_star_CV,Generalization_Gap,Outlier_Ratio,Outlier_Ratio_CV,N_Samples
fb_mean_l1,-0.7344045375929101,0.015570368932827327,-0.742387174159217,0.01392776805646455,0.26791534101253556,1.2436489389978969,0.0,1.207343392627162,0.9757335979853613,0.0,0.2,10
fb_mean_l2,-0.7342284001942201,0.015608063487351062,-0.742387174159217,0.01392776805646455,0.26974175530186706,1.2443756526967036,0.0,1.207343392627162,0.9746338973948365,0.0,0.2,10
warp_mean_l1,-0.7128382947296669,0.020674493159729433,-0.5583242384172624,0.09346396626964014,0.30866800441520964,0.4173111645671505,0.0,0.0,0.10864316015194087,0.0,0.0,10
warp_mean_l2,-0.7123026532981542,0.020814246409030027,-0.5951368255656533,0.06951501015301122,0.2957659636769894,0.41090242574407704,0.0,0.0384950753363646,0.11513646206708766,0.0,0.2,10
motion_mag_mean,-0.7441982904543741,0.013572690693879461,-0.754658036542014,0.01164487250461738,0.3028015832163788,0.49937446595539353,0.0,0.06476480495750282,0.19657288273901474,0.0,0.2,10
motion_mag_var,-0.7175077690539564,0.0194835291417578,-0.779199761307608,0.007888892938635234,0.28513944538130587,0.7104367492659088,0.0,0.43989509538034016,0.42529730388460296,0.0,0.3,10
q_fb_mean_l1,0.781651452283038,0.007568458568213575,0.742387174159217,0.01392776805646455,0.29341658564811673,0.5339996407282085,0.0,0.11291499229234092,0.24058305508009176,0.0,0.1,10
q_fb_mean_l2,0.7876347943877193,0.006825307746092588,0.742387174159217,0.01392776805646455,0.29492625870193523,0.5178995965653889,0.0,0.074061639481874,0.22297333786345364,0.0,0.1,10
q_warp_mean_l1,0.7128627517342924,0.020668127640863593,0.5583242384172624,0.09346396626964014,0.30857890379124603,0.41726691379406144,0.0,0.0,0.10868801000281542,0.0,0.0,10
q_warp_mean_l2,0.7125799192900688,0.020741824263671754,0.5951368255656533,0.06951501015301122,0.29636238723448743,0.41438173775079207,0.0,0.040714824004329894,0.11801935051630463,0.0,0.2,10
q_motion_mag_var,0.6274466552117733,0.05213990863861542,0.779199761307608,0.007888892938635234,0.3436695506010621,0.9336538193918942,0.057604873085974354,0.6137424591059448,0.5899842687908321,0.2,0.5,10
lpips_mean,0.32586936746127837,0.35815670513407855,0.3619904402925108,0.30400466202339305,0.45379139019748116,1.3083532875079695,0.1489352037751318,1.1438166481197727,0.8545618973104884,0.2,0.6,10
lpips_median,0.33794595828159796,0.33954375324104863,0.4356156145892926,0.20825788700156508,0.4504279704867717,1.3172804084330252,0.14173465075365768,1.1571705086645159,0.8668524379462534,0.2,0.5,10
lpips_std,-0.6762669843780027,0.03178739017545082,-0.717845449393623,0.01939928907360013,0.3559221175700721,0.6478423345124922,0.018376498820641202,0.28520583088145446,0.2919202169424201,0.1,0.3,10
lpips_min,0.4843917523116202,0.15596846811408815,0.5460533760344654,0.10247883425571196,0.39363396540785794,1.120237491103219,0.10556854072541527,0.9369084311229892,0.7266035256953609,0.2,0.5,10
lpips_max,0.18162187672237204,0.6155502678065026,0.2024692293161501,0.5748125526418609,0.46211398801376613,1.0471159817580493,0.19082796280805583,0.8061700255247254,0.5850019937442832,0.1,0.5,10
ssim_mean,-0.27036182590166724,0.4499504497833417,-0.3988030274409017,0.25362657589473037,0.39804609736404467,1.1242329897789114,0.013180589868557505,0.9501923918917173,0.7261868924148667,0.2,0.4,10
ssim_median,-0.2550963948462679,0.4768936919525425,-0.3865321650581048,0.26986858257602425,0.4035823091231798,1.1207141911905247,0.03338053934605525,0.9521349582635439,0.7171318820673449,0.2,0.3,10
ssim_std,-0.7532584400336464,0.011890930366447143,-0.8282832108387959,0.003074774223571238,0.2707649473484024,0.49036661900224093,0.0,0.10837950079808284,0.21960167165383854,0.0,0.3,10
ssim_min,-0.12289872064678686,0.7351829813276669,0.12884405501936821,0.7227860826113411,0.4611191852367603,1.295328545282665,0.13686389274194613,1.0891306603052975,0.8342093600459047,0.1,0.6,10
ssim_max,-0.42461823048324326,0.22128079260979408,-0.5092407888860745,0.13274267581496021,0.34727203619497155,1.1216522564666325,0.024878845913617702,0.952041303541295,0.774380220271661,0.1,0.4,10
semantic,0.6476078969806122,0.04291448690255673,0.6196785503312472,0.05601931349899569,0.33795142475400136,0.5561338201364481,0.050988161439919404,0.22603401492789252,0.21818239538244671,0.2,0.4,10
technical,0.3588678459805935,0.3085040859644708,0.34971957790971375,0.3218862439374824,0.41522308017139603,0.6655864443664933,0.09126542225599052,0.23131093484241622,0.25036336419509725,0.2,0.4,10
aesthetic,0.4845177474324844,0.15584492940738207,0.44788647697208955,0.19426275128648055,0.3916209932696635,1.2669940957232237,0.10521230235865661,1.0315948281080685,0.8753731024535603,0.2,0.4,10
overall,0.4266831005803946,0.21880103939671108,0.42334475220649564,0.2228181042830319,0.4046548396893342,0.8625297307567382,0.10568792326455743,0.5367515446825786,0.45787489106740403,0.1,0.3,10
mean_clip_score,-0.14031902297150614,0.6990247025181162,0.12884405501936821,0.7227860826113411,0.38404594288589283,0.9202833830360436,0.10946450094181111,0.655365747837144,0.5362374401501508,0.1,0.4,10
median_clip_score,-0.10734065844039302,0.7678791157594106,0.12884405501936821,0.7227860826113411,0.37550983610408706,0.6475036570725351,0.10051411828364318,0.31427560220175005,0.27199382096844804,0.1,0.3,10
