Frame,SI,TI
0,97.3967,N/A
1,86.3757,41.6895
2,85.2123,67.0580
3,78.0528,66.0171
4,72.8967,74.3775
5,65.2304,63.5861
6,70.2265,81.6692
7,58.4351,84.1198
8,58.9880,83.8188
9,54.9499,85.4266
10,62.7860,77.1938
11,61.6215,80.0966
12,65.0674,72.2959
13,58.0645,70.9813
14,61.8927,72.9792
15,56.8369,77.2759
16,56.8431,77.3417
17,49.5653,79.1717
18,60.3970,75.5784
19,58.5714,70.2813
20,56.2231,69.3353
21,49.8984,66.4832
22,60.0447,63.8058
23,56.0473,64.4190
24,63.1014,61.5629
25,59.3223,56.9756
26,67.1314,61.5521
27,62.9462,63.0674
28,54.5244,65.5620
29,39.8681,69.3596
30,40.7148,77.4875
31,43.0319,78.8526
32,52.9196,75.4155
33,52.0496,71.4364
34,56.6877,68.3627
35,55.7347,63.5543
36,57.9478,55.6505
37,53.4313,64.0970
38,63.4214,65.2269
39,56.4113,59.2881
40,54.0399,58.8630
41,64.0242,52.0232
42,73.8409,48.5338
43,78.9333,43.3306
44,74.7957,43.8074
45,78.0657,43.2006
46,74.5513,35.7942
47,65.3863,46.2484
48,60.5788,45.1026
49,57.6339,55.6121
50,63.7194,59.4970
51,65.4998,49.3967
52,61.5908,47.0810
53,49.7994,58.5385
54,54.7846,60.4371
55,66.3936,58.4402
56,72.9571,55.4232
57,87.0516,44.4639
58,91.0281,31.1488
59,82.0638,39.3055
60,65.8611,54.4550
61,57.8862,60.6159
62,55.7738,63.9695
63,51.9294,65.3440
64,49.0213,69.3799
65,41.8917,68.2177
66,50.8993,68.5822
67,56.5739,58.3461
68,49.9944,68.2901
69,44.7499,67.4090
70,54.6829,70.0407
71,67.9224,74.4055
72,62.2863,73.8912
73,47.2193,72.6707
74,57.6304,69.9107
75,64.8488,67.0797
76,65.9359,63.5195
77,71.3713,55.4991
78,82.8796,48.8438
79,99.4354,55.1076
80,99.6206,48.1614
81,106.9564,43.4712
82,115.8071,46.4256
83,121.0429,45.2345
84,117.1212,47.8185
85,105.6161,51.4024
86,110.8838,48.5954
87,108.5894,49.2745
88,104.2886,47.9723
89,97.4787,48.1535
90,106.2510,52.3136
91,97.9105,54.3471
92,78.4006,55.0939
93,69.2712,54.5376
94,76.1103,56.6244
95,71.1224,56.7416
96,66.8764,50.8105
97,66.4681,54.2363
98,79.1621,52.0592
99,69.5141,56.1849
100,62.9786,57.6181
101,64.7602,58.5973
102,73.4323,58.7752
103,60.9925,57.5753
104,54.8219,56.9487
105,57.9674,52.8057
106,69.8825,57.2071
107,79.1619,52.8638
108,76.1879,46.0230
109,88.2663,41.6644
110,92.9044,38.4298
111,87.5515,43.4224
112,70.2392,43.6778
113,75.5257,43.0607
114,91.3190,46.4645
115,93.5346,38.4750
116,88.8831,39.6326
117,88.1757,45.6208
118,91.4588,39.1450
119,95.1572,40.5921
120,86.2963,43.7121
